Feature,Starter,Pro,Business,Enterprise
Price (monthly USD),0,100,250,500
Price (annual USD),0,1100,2700,5250
Annual discount %,0,8,10,13
Target customer,Trying it out / tiny teams,Startups / single-product orgs,Mid-market / regulated industries,Large enterprise / multi-BU
Trial (days on new workspace),0,14,14,custom
Workspaces (companies),1,1,3,Unlimited
Team members per workspace,3,10,25,Unlimited
AI systems tracked,3,15,35,Unlimited
Intake + risk register,Basic,Full,Full,Full
AIA workflow,No,Yes,Yes,Yes
NIST AI RMF checklist,Yes,Yes,Yes,Yes
Sector checklists (HIPAA FERPA GLBA SOX etc.),No,Yes,Yes,Yes
Policy library - templates available,All 56,All 56,All 56,All 56
Policy library - saved policies per workspace,3,6,Unlimited,Unlimited
AI-generated policy drafting,No,Yes,Yes,Yes
Posture-drift banners + snapshots,No,Yes,Yes,Yes
Audit log export (CSV / JSON),No,Yes,Yes,Yes
SSO - Google Workspace,No,No,Yes,Yes
SSO - SAML / Okta / Azure AD,No,No,No,Yes
API access,No,No,No,Yes
Custom branding (remove GAIN footer),No,No,Yes,Yes
BAA available,No,No,Yes,Yes
Data residency options,No,No,No,Yes
Support channel,Community only,Email,Email,Email + Dedicated Discord
Support SLA,None,48 hours,24 hours,8 hours
